"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","rapeseed_HgHa","AET_mean","rapeseed_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"182","Pakistan",1256,29.7614,70.1808,0.255039103209331,2.07129010130327,2.37358520545901,5.06566932773143,2.7175806602292,1256
"222","Russian Federation",1317,46.013,46.8246,0.0711913700427273,2.64793573349118,1.27438569637142,5.32502074550366,3.33487843404016,1317
"341","China",1520,40.7776,124.08,0.371811097537332,2.70876476760362,2.34251714006136,6.95136909386879,2.99627669770714,1520
"352","China",1529,35.826,111.503,0.412317458521854,2.73591241825355,2.24239687163563,6.95136909386879,2.99627669770714,1529
"393","Mexico",1593,24.9729,-107.649,0.335802531346538,2.59867979624061,1.94284000910986,5.19781516944518,3.82053390533369,1593
"438","Sweden",1666,57.6193,13.587,0.0878157537466976,2.61389213689062,2.00821427107439,4.11223623086894,4.48925689329624,1666
"510","Kazakhstan",1759,53.5535,68.3842,0.222716475568545,2.11829622634681,0.729939592433936,4.50851625226694,3.17598650936112,1759
"748","Russian Federation",2105,56.1441,57.6044,0.117508030022463,2.36335451398268,1.27768331328845,5.32502074550366,3.33487843404016,2105
"749","Russian Federation",2105,56.1441,57.6044,0.117508030022463,2.36335451398268,1.27768331328845,5.32502074550366,3.33487843404016,2105
"825","Australia",2229,-26.5486,149.233,0.0298368436529187,2.6731635848343,1.12367513264259,5.36316241230006,4.33107201983724,2229
"937","China",2420,37.2755,105.215,0.258136811241188,2.59845503231177,2.36590351648978,6.95136909386879,2.99627669770714,2420
"963","Russian Federation",2457,56.1441,75.5707,0.278753595467004,2.365030897342,1.24956496638106,5.32502074550366,3.33487843404016,2457
"1476","Brazil",304,-7.64738,-60.0749,0.100944631984953,2.93172265532701,2.0140208038757,5.98977763964001,3.58078294659351,304
"2505","Brazil",376,-12.1,-39.4136,0.409933132118576,2.72400264251505,1.82877014243559,5.98977763964001,3.58078294659351,376
"31686","Brazil",787,-5.85147,-57.38,0.212288521916169,2.94911107631829,1.84408674856252,5.98977763964001,3.58078294659351,787
"33829","Brazil",828,-7.64738,-55.5833,0.198064955040839,2.9498689999766,1.84544942867962,5.98977763964001,3.58078294659351,828
"36684","Brazil",927,1.37279,-64.5665,0.0250885403339516,3.00486364734752,1.91795534511984,5.98977763964001,3.58078294659351,927
"21","Brazil",1037,-4.0497,-66.3631,0.112060119592772,2.94093428521864,2.01291439745891,5.98977763964001,3.58078294659351,1037
"214","Brazil",1300,-10.3264,-48.3968,0.387241484991934,2.91526789096641,1.84353535598378,5.98977763964001,3.58078294659351,1300
"337","Croatia",1509,43.7655,15.787,0.223419792054589,2.71868947481343,2.09784531555774,4.27018954270418,3.76349188024616,1509
"648","Brazil",1964,-12.1,-52.8884,0.229880850740631,2.94267080631698,2.04940992873114,5.98977763964001,3.58078294659351,1964
"680","Brazil",2000,-5.85147,-58.2783,0.136940656520038,2.94147445898498,1.95319607356518,5.98977763964001,3.58078294659351,2000
"887","Brazil",2351,-5.85147,-68.1597,0.0616932700818705,2.915157906816,2.01292643227851,5.98977763964001,3.58078294659351,2351
"907","China",2389,28.9746,89.0454,0.469896949160825,2.50447086249442,2.2154697178196,6.95136909386879,2.99627669770714,2389
"973","Mexico",2468,16.0156,-97.5941,0.218797990501744,2.93381256145245,1.85511322285211,5.19781516944518,3.82053390533369,2468
"976","Ethiopia",2474,5.88412,41.4347,0.0831146728777301,2.55161697990997,0.921746589329844,3.63648789635337,2.09437779351545,2474
"1052","Russian Federation",2592,46.6353,44.1297,0.213879815602136,2.66493843186716,1.29477857987055,5.32502074550366,3.33487843404016,2592
"1083","Canada",2628,53.5535,-100.499,0.156806434262059,2.54838941813292,1.67409950827493,5.43420630841758,4.37324138608759,2628
"1091","Australia",2640,-32.8185,119.588,0.182291003579025,2.41259553088046,1.46030637575806,5.36316241230006,4.33107201983724,2640
"1114","Russian Federation",2666,57.6193,98.9269,0.0226639839881825,2.30627181017191,1.23318981256031,5.32502074550366,3.33487843404016,2666
"1142","Latvia",2692,57.4814,21.8813,0.199221936969987,2.67525992437706,2.20771929071581,3.39724458101039,3.55219028830686,2692
"1170","Russian Federation",2728,58.5705,36.0448,0.215084516608173,2.58716956309482,1.29933337611711,5.32502074550366,3.33487843404016,2728
"1177","Chile",2735,-54.0261,-69.87,0.400773397974914,2.18763820895548,2.40540687778982,4.98465330797233,3.69928062050879,2735
"1207","Russian Federation",2760,54.6099,74.6724,0.278753595467004,2.30262979882118,1.25262260623949,5.32502074550366,3.33487843404016,2760
"1238","Canada",2795,52.47,-108.584,0.365963795886642,2.38396489061893,1.88433126056075,5.43420630841758,4.37324138608759,2795
"1239","Chile",2798,-41.382,-72.6097,0.383628385110844,2.69899068451257,2.43693609974019,4.98465330797233,3.69928062050879,2798
"1333","India",2903,16.5103,77.3673,0.0622711482886145,2.68426546673157,1.70824153687557,5.50520154772776,2.65874601931954,2903
"1350","Kazakhstan",2917,55.1279,69.2825,0.222141943586913,2.17396629810017,0.823235513475938,4.50851625226694,3.17598650936112,2917
"1389","Germany",2952,50.2203,12.6886,0.523993087093021,2.6806951537781,2.45304927673482,5.36638186074997,4.41865905031594,2952
"1427","Russian Federation",2990,56.1441,58.5027,0.248323640139582,2.33859876867732,1.2772105784815,5.32502074550366,3.33487843404016,2990
"1428","Russian Federation",2990,56.1441,58.5027,0.248323640139582,2.33859876867732,1.2772105784815,5.32502074550366,3.33487843404016,2990
"1445","China",3005,31.3165,100.724,0.476748078471184,2.58436488303439,2.21695365999344,6.95136909386879,2.99627669770714,3005
"1521","United States",3079,47.2505,-88.821,0.11760844149895,2.74281861439962,1.96087144555786,6.47257508985315,4.55253120853509,3079
"1744","United Kingdom",3280,54.0865,-2.55231,0.576790956625576,2.69312736039549,2.48224266424866,5.3694440804306,4.4645225202218,3280
"1782","China",3302,39.3978,108.808,0.337990521651361,2.55996003267527,2.21777713928919,6.95136909386879,2.99627669770714,3302
"2076","Brazil",3512,-22.4398,-50.1934,0.409933132118576,2.8775273144218,2.04934705216734,5.98977763964001,3.58078294659351,3512
"2150","Bangladesh",3560,21.678,92.0491,0.183319558299949,2.93534529285453,2.21191963532481,4.35812528527665,2.61998209528875,3560
"2386","Chile",3693,-51.3288,-73.5158,0.398259369533902,2.63648491124556,2.45389928842372,4.98465330797233,3.69928062050879,3693
"2406","Tajikistan",3705,39.3978,67.4859,0.216483570306084,2.21674696137492,1.97530759847395,3.56726169235387,2.26751551150824,3705
"2626","India",3820,22.4701,74.6724,0.128354972299324,2.68482933812569,1.46760439120315,5.50520154772776,2.65874601931954,3820
"2733","Russian Federation",3873,62.1276,45.9263,0.00539503188670614,2.61479681272587,1.26011571931443,5.32502074550366,3.33487843404016,3873
"2894","Turkmenistan",3933,40.0912,62.9943,0.0253400060244643,2.21029622038618,1.97561471683606,4.83241310188512,2.88553797188383,3933
"3037","Germany",3985,51.3591,12.6886,0.636645674056137,2.69832066251296,2.41478946835311,5.36638186074997,4.41865905031594,3985
"3281","Canada",4063,54.6099,-99.6008,0.178129275093506,2.55785078934732,1.95533830103439,5.43420630841758,4.37324138608759,4063
"3309","China",4073,42.1292,124.978,0.410269544012348,2.73153120841035,2.25041920642693,6.95136909386879,2.99627669770714,4073
"4107","Australia",4276,-29.733,147.436,0.0951720768390968,2.53180193267503,1.42063824569048,5.36316241230006,4.33107201983724,4276
"4628","China",4364,36.5542,79.164,0.323087589214812,1.72261433812545,2.33477009925784,6.95136909386879,2.99627669770714,4364
"6004","Argentina",4544,-37.9641,-59.1766,0.365487994625086,2.88254825371348,1.50195708883458,5.78923793550226,3.80950249718057,4544
"6348","Ethiopia",4584,7.6799,42.333,0.138820061641064,2.61945049731097,1.17530355547377,3.63648789635337,2.09437779351545,4584
"6514","Australia",4603,-35.0643,142.046,0.226048824954238,2.22471646163055,1.6977598476888,5.36316241230006,4.33107201983724,4603
"7087","New Zealand",4669,-40.7878,175.389,0.271241007375805,2.85697690154854,2.15268154354627,4.37781602917206,4.21124915324027,4669
"7411","Australia",4705,-31.9006,133.124,0.203873466872639,2.22583213918985,1.32987352804601,5.36316241230006,4.33107201983724,4705
"8186","China",4794,29.7614,103.418,0.392190726013357,2.75592020568688,2.41465801673991,6.95136909386879,2.99627669770714,4794
"8378","Finland",4816,62.9389,21.7547,0.232468680182214,2.56117239668328,2.14265862462261,3.96189547366785,4.4240457227584,4816
"8412","India",4820,12.2325,79.8125,0.0733127920398518,2.931945957663,1.80746192440521,5.50520154772776,2.65874601931954,4820
"8634","Mexico",4846,28.1817,-107.686,0.254527928471105,2.74778160908691,1.96826986167457,5.19781516944518,3.82053390533369,4846
"8778","China",4862,32.0845,100.724,0.433866503355419,2.56597424475435,2.21651066861582,6.95136909386879,2.99627669770714,4862
"8841","Turkey",4869,36.5553,33.3485,0.475953540590194,2.47781006454463,1.8618034018834,5.33782451404581,3.5953428256262,4869
"1112","Brazil",2664,-0.437725,-51.12,0.208652468717221,2.96908988051531,1.89157684940606,5.98977763964001,3.58078294659351,2664
"1167","Tunisia",2723,34.404,9.91067,0.00324505481314709,1.8547577449504,1.2746636121401,3.81484666860446,3.37144277430214,2723
"1268","Brazil",2824,-7.64738,-39.4136,0.409933132118576,2.77163559319476,2.00712348553734,5.98977763964001,3.58078294659351,2824
"1959","Brazil",3438,-3.15716,-43.8975,0.369409151712752,2.95546344167575,2.04396403361845,5.98977763964001,3.58078294659351,3438
"2875","Brazil",3928,-8.54258,-55.5833,0.209108643596162,2.95216950080953,1.84533777908441,5.98977763964001,3.58078294659351,3928
"3454","Russian Federation",4115,53.0152,102.52,0.206657246403639,2.32170813177996,1.23537969122912,5.32502074550366,3.33487843404016,4115
"4083","Brazil",4272,-12.9808,-39.4153,0.408086794194541,2.84372948323057,1.82628206046822,5.98977763964001,3.58078294659351,4272
"7341","Brazil",4697,-4.95121,-44.8035,0.337958171458109,2.88361581361355,2.05097882203798,5.98977763964001,3.58078294659351,4697
"8473","Kazakhstan",4827,43.4523,54.0111,0.00268591170151646,1.9916742776731,0.696395763651296,4.50851625226694,3.17598650936112,4827
"9226","Brazil",4916,-25.7378,-52.8884,0.391456405441614,2.96379344707979,1.83636336041682,5.98977763964001,3.58078294659351,4916
"9686","Chile",4970,-40.1146,-73.3851,0.397405160587778,2.71227881387855,2.47480018077161,4.98465330797233,3.69928062050879,4970
"9722","Russian Federation",4974,51.3591,37.8415,0.278753595467004,2.58303675406315,1.33303984096947,5.32502074550366,3.33487843404016,4974
"11116","Mexico",5137,22.561,-105.625,0.32912395292821,2.90316753263122,1.94348069562458,5.19781516944518,3.82053390533369,5137
"11503","China",5184,39.3978,87.2488,0.0415867706273144,1.89171330085297,2.33409949464674,6.95136909386879,2.99627669770714,5184
"11943","China",5236,39.4545,121.632,0.330602982441451,2.68573107828803,2.2396038514235,6.95136909386879,2.99627669770714,5236
"12300","Kazakhstan",5278,54.0851,68.3842,0.222716475568545,2.15238845943554,0.726571970303618,4.50851625226694,3.17598650936112,5278
"12372","Greece",5286,40.7776,20.7735,0.106455330989816,2.71985719460192,1.479475486258,4.86861505347097,4.14310934368233,5286
"13940","Canada",5469,48.4596,-72.6513,0.318186147559486,2.69158137376215,1.9390770207847,5.43420630841758,4.37324138608759,5469
"14296","Turkey",5511,40.0912,42.333,0.485579492743648,2.58106743737344,1.69770100505599,5.33782451404581,3.5953428256262,5511
"15732","China",5680,46.6353,116.893,0.0229086056034447,2.4815705841947,1.71144535073004,6.95136909386879,2.99627669770714,5680
"16588","Russian Federation",5785,55.6394,89.0454,0.251179806921063,2.15110341514852,1.24714651193575,5.32502074550366,3.33487843404016,5785
"16870","Canada",5818,53.5535,-95.1092,0.0655730516365434,2.70970900163977,1.87204492699805,5.43420630841758,4.37324138608759,5818
"17843","Brazil",5941,-18.2042,-43.0069,0.395630812245526,2.86831024253563,1.83372984237676,5.98977763964001,3.58078294659351,5941
"18602","India",6036,18.2785,73.1376,0.126801733351849,2.81976713561194,1.78049926537373,5.50520154772776,2.65874601931954,6036
"18860","Mexico",6069,30.5421,-110.381,0.353313628660467,2.43261620202344,1.9629850976383,5.19781516944518,3.82053390533369,6069
"19354","Argentina",6130,-52.9955,-69.0581,0.577491796505336,2.24830905176763,2.54583143215228,5.78923793550226,3.80950249718057,6130
"20137","China",6229,28.9746,99.8252,0.344517021104218,2.67537184573491,2.21792500153422,6.95136909386879,2.99627669770714,6229
"20497","Brazil",6273,-11.1813,-37.6653,0.402831805647537,2.80473760766868,2.00228296855232,5.98977763964001,3.58078294659351,6273
"22888","Argentina",6585,-28.9459,-55.5833,0.351597223610134,3.00026489051585,1.83507102182853,5.78923793550226,3.80950249718057,6585
"23556","Argentina",6673,-33.5737,-69.0581,0.00475115559100102,2.16179566780541,1.22628373975226,5.78923793550226,3.80950249718057,6673
"24159","India",6752,27.3827,79.164,0.296165007455703,2.73294393879247,2.00595165673583,5.50520154772776,2.65874601931954,6752
"25577","Australia",6946,-37.2494,144.741,0.316408144270694,2.42398175588789,2.00375522404704,5.36316241230006,4.33107201983724,6946
"27083","Finland",7154,64.1585,26.1634,0.236998857291527,2.58034107301243,2.17008631421529,3.96189547366785,4.4240457227584,7154
"27328","Kazakhstan",7188,50.7932,83.6555,0.0147904638015778,2.4011440081076,0.915227190321798,4.50851625226694,3.17598650936112,7188
"27646","India",7233,26.5779,75.5707,0.235767155136682,2.59392527338453,1.92362638165958,5.50520154772776,2.65874601931954,7233
"27655","Bangladesh",7234,21.1287,92.1344,0.126017823591079,2.92853910580869,2.17298691035134,4.35812528527665,2.61998209528875,7234
"28141","Russian Federation",7306,54.6099,48.6213,0.23078056581213,2.2897561281969,1.21676488617272,5.32502074550366,3.33487843404016,7306
"28704","Ukraine",7388,44.7233,33.6635,0.23363057788204,2.59854299723964,1.27540386530997,5.28195781643865,2.91918067636586,7388
"29097","Argentina",7447,-33.5737,-69.9564,0.470143100865762,2.14909075597367,2.38726150860658,5.78923793550226,3.80950249718057,7447
"29312","Kazakhstan",7480,49.6405,57.6044,0.111640510360751,2.08006358684664,0.757242097118656,4.50851625226694,3.17598650936112,7480
"29735","Hungary",7549,46.6353,20.7735,0.434536791560078,2.66448247662729,2.05688411099397,4.61162773146829,3.74727443427803,7549
"30012","China",7593,39.3978,107.91,0.302748946967937,2.55240745690115,2.21703003728761,6.95136909386879,2.99627669770714,7593
"30296","India",7638,26.5779,80.0623,0.284049429214833,2.71096814833284,2.1145381270565,5.50520154772776,2.65874601931954,7638
"30440","Australia",7662,-30.5139,121.385,0.16133658004226,2.34008984904644,1.33433881579282,5.36316241230006,4.33107201983724,7662
"31311","Argentina",7805,-35.7995,-65.4648,0.0694214112260509,2.67235628964493,1.2758811866197,5.78923793550226,3.80950249718057,7805
"31335","Canada",7809,49.6405,-109.482,0.300587417849277,2.45121972198677,1.85774459536133,5.43420630841758,4.37324138608759,7809
"31435","Russian Federation",7828,49.0536,131.266,0.0606978388430222,2.63515749649141,1.25265227721242,5.32502074550366,3.33487843404016,7828
"31759","Australia",7882,-30.5139,151.029,0.254474926284193,2.72982021225985,1.44189500944771,5.36316241230006,4.33107201983724,7882
"32709","Australia",8056,-34.0749,136.307,0.298292298297804,2.27918876582251,1.33258330044158,5.36316241230006,4.33107201983724,8056
"32918","United States",8094,45.3835,-98.7025,0.276272915546834,2.66555865710791,2.3178946414365,6.47257508985315,4.55253120853509,8094
"33471","Argentina",8206,-33.5737,-60.0749,0.19340290918316,2.90414535763518,1.41150661997961,5.78923793550226,3.80950249718057,8206
"33503","Brazil",8212,-24.9215,-51.0917,0.389564751883963,2.92502647146572,1.83872529085817,5.98977763964001,3.58078294659351,8212
"34310","Argentina",8395,-38.6718,-64.5665,0.00475115559100102,2.76951359324707,1.22569415171636,5.78923793550226,3.80950249718057,8395
"34930","New Zealand",8556,-40.0217,175.385,0.209382603171604,2.86920377198184,2.1225563771611,4.37781602917206,4.21124915324027,8556
"35364","Brazil",8699,-23.2723,-48.3968,0.401818140369504,2.87122186126873,2.0498376889186,5.98977763964001,3.58078294659351,8699
"35547","United Kingdom",8759,56.1577,-3.51444,0.548699589068593,2.68800113292565,2.42633409749743,5.3694440804306,4.4645225202218,8759
"36232","Russian Federation",9043,55.6394,87.2488,0.0566326504624512,2.33544596013506,1.24963012085948,5.32502074550366,3.33487843404016,9043
"36635","Canada",9242,54.0851,-110.381,0.432420583984905,2.44546519792324,1.98841169587454,5.43420630841758,4.37324138608759,9242
"36714","Chile",9286,-37.2494,-72.6513,0.547179651697963,2.59560118726503,2.54643304469855,4.98465330797233,3.69928062050879,9286
"36846","Turkey",9368,40.7691,30.6481,0.456935117362691,2.62590624716546,1.84149831717207,5.33782451404581,3.5953428256262,9368
"36968","Mexico",9452,26.5739,-112.189,0.283142457134868,2.17743342774339,1.94073150990914,5.19781516944518,3.82053390533369,9452
"37055","United States",9522,44.1032,-101.397,0.276272915546834,2.52838099709308,2.31727073754639,6.47257508985315,4.55253120853509,9522
"37132","Kazakhstan",9585,41.457,68.3842,0.202129944132839,2.5242337993653,0.800281327665921,4.50851625226694,3.17598650936112,9585
"37154","Brazil",9598,-31.2199,-52.0854,0.369468058779285,2.91831123356298,1.81973742353049,5.98977763964001,3.58078294659351,9598
"37195","Argentina",9633,-33.5737,-63.6682,0.365487994625086,2.81111199679602,1.50636224889851,5.78923793550226,3.80950249718057,9633
"37256","Brazil",9702,-24.0972,-47.5011,0.378439521082742,2.86256615210112,2.04912516640033,5.98977763964001,3.58078294659351,9702
"37277","France",9730,47.8586,1.01054,0.603898010312629,2.76709178658647,2.41797941588714,5.83682522770016,4.39150652613484,9730
"1","Russian Federation",10009,55.6394,52.2145,0.265185500354612,2.23145138510747,1.28724713136381,5.32502074550366,3.33487843404016,10009
"3","Georgia",10031,43.4523,42.333,0.217483939739357,2.4611929253829,1.26184172484299,4.33380987485523,2.91491025581416,10031
"4","Georgia",10031,43.4523,42.333,0.217483939739357,2.4611929253829,1.26184172484299,4.33380987485523,2.91491025581416,10031
"8","Bosnia and Herzegovina",10155,44.7535,15.3926,0.473035038816634,2.58769760515206,2.18165262296878,0,3.16927450599899,10155
"14","Mexico",10290,25.7674,-100.499,0.30794959957184,2.5624097088151,1.9746884999814,5.19781516944518,3.82053390533369,10290
"20","Finland",10367,60.4335,22.6153,0.27571774875972,2.58238806909776,2.14519919249139,3.96189547366785,4.4240457227584,10367
"27","Brazil",10452,-30.5139,-56.4816,0.182794950386863,2.98453802858411,1.74339579819477,5.98977763964001,3.58078294659351,10452
"29","Turkey",10460,38.6973,35.1465,0.487256261939972,2.70599599969174,1.7490554123213,5.33782451404581,3.5953428256262,10460
"30","China",10505,28.9746,112.402,0.344405561320874,2.86385548605968,2.31450812997147,6.95136909386879,2.99627669770714,10505
"33","China",10537,38.6973,94.4353,0.135032217517505,2.07166287696574,2.1967916965552,6.95136909386879,2.99627669770714,10537
"35","Canada",10592,42.7943,-81.6345,0.439973484459789,2.80892399970844,1.91283739007354,5.43420630841758,4.37324138608759,10592
"39","China",10604,26.5779,115.995,0.28143135942622,2.91240869952504,2.38794483345191,6.95136909386879,2.99627669770714,10604
"43","Austria",10642,48.4596,16.2819,0.507000348034286,2.70892144039987,2.44689401872078,4.3730775921749,4.43130692560771,10642
"52","Brazil",10819,-16.4788,-46.6002,0.34734481016042,2.88628252548793,1.83503580693146,5.98977763964001,3.58078294659351,10819
"58","China",10902,35.826,79.164,0.160431472543434,1.81080038533791,2.33483799527204,6.95136909386879,2.99627669770714,10902
"67","New Zealand",11003,-39.7813,174.668,0.162599541436952,2.86222369400539,2.06793566539372,4.37781602917206,4.21124915324027,11003
"72","Mexico",11085,19.6531,-96.4226,0.175315540682074,2.93801313412622,1.8715015229645,5.19781516944518,3.82053390533369,11085
"78","Ukraine",11152,50.7932,35.1465,0.287108263533018,2.52366906213593,1.38418725709953,5.28195781643865,2.91918067636586,11152
"83","Bolivia",11226,-12.1,-65.4648,0.0152263524393511,2.9428580832626,1.79457722674053,4.4215710245264,2.98847132047518,11226
"88","Russian Federation",11260,53.0152,45.9263,0.274446507628272,2.31398641910992,1.30136269172923,5.32502074550366,3.33487843404016,11260
"89","Argentina",11267,-37.9641,-63.6682,0.356238391754606,2.81401360618071,1.48992350705094,5.78923793550226,3.80950249718057,11267
"98","Argentina",11425,-35.0643,-59.1766,0.137986737464738,2.90801562002599,1.34298850770244,5.78923793550226,3.80950249718057,11425
"99","Spain",11455,37.9899,-2.58272,0.342304599447162,2.41186011247457,2.29220457892631,5.40708143378234,4.21334781739129,11455
"110","Mexico",11607,24.9512,-101.397,0.344541111552975,2.48299686788354,1.97278217552748,5.19781516944518,3.82053390533369,11607
"122","Bolivia",11784,-10.3264,-68.1597,0.306395246796163,2.89867458668028,1.83074598168108,4.4215710245264,2.98847132047518,11784
"123","Russian Federation",11832,55.6394,75.5707,0.278753595467004,2.33495013899867,1.25037686106097,5.32502074550366,3.33487843404016,11832
"136","Turkey",11956,38.6973,44.1297,0.264603208217694,2.50167044545026,1.64496720856037,5.33782451404581,3.5953428256262,11956
"138","Mexico",11966,24.1295,-100.499,0.361742129924352,2.49040164990979,1.97340415734836,5.19781516944518,3.82053390533369,11966
"140","Brazil",11986,-20.5422,-40.5762,0.331564085634408,2.87799488433805,2.00855162173769,5.98977763964001,3.58078294659351,11986
"166","Russian Federation",12346,55.1279,93.537,0.0100354921572443,1.88739623932915,1.24302660152556,5.32502074550366,3.33487843404016,12346
"168","China",12392,47.2505,123.181,0.351795122051965,2.54743037898418,2.24052141235899,6.95136909386879,2.99627669770714,12392
"169","China",12402,42.1292,123.181,0.413666921193518,2.63617733619871,2.33986698469851,6.95136909386879,2.99627669770714,12402
"170","China",12408,43.4523,82.7572,0.360846655509574,1.57801124190754,2.35669882257002,6.95136909386879,2.99627669770714,12408
"171","Latvia",12445,56.6424,22.5701,0.405524944691915,2.66567589744156,2.30664785866727,3.39724458101039,3.55219028830686,12445
"181","Australia",12532,-31.2885,146.538,0.361854983548305,2.4691116319071,1.58469784325773,5.36316241230006,4.33107201983724,12532
"183","Kazakhstan",12565,50.7932,80.9606,0.225107803271612,2.39928217735975,0.77461323661132,4.50851625226694,3.17598650936112,12565
"193","Australia",12729,-42.7309,147.964,0.0325800493060811,2.67793268177949,1.22305545129577,5.36316241230006,4.33107201983724,12729
"204","China",12857,24.1295,115.097,0.225682242795796,2.92633019487172,2.33019681017559,6.95136909386879,2.99627669770714,12857
"220","Russian Federation",13134,57.6193,96.232,0.0314084634436344,2.21163216960211,1.23514420815144,5.32502074550366,3.33487843404016,13134
"227","India",13231,28.9746,96.232,0.280219146346994,2.86369629760033,1.95267385584336,5.50520154772776,2.65874601931954,13231
"231","Canada",13300,53.5535,-99.6008,0.091814160936664,2.5649477261158,1.81214531369981,5.43420630841758,4.37324138608759,13300
"10108","Brazil",5018,-16.4788,-53.7867,0.409933132118576,2.90221016709914,2.05252789429215,5.98977763964001,3.58078294659351,5018
"11021","Russian Federation",5126,48.4596,133.063,0.257278482677431,2.63243318817209,1.2553019454109,5.32502074550366,3.33487843404016,5126
"20870","Brazil",6323,-6.75027,-71.753,0.0449424253050532,2.90257266173288,1.99857125005588,5.98977763964001,3.58078294659351,6323
"22537","Brazil",6540,-2.24386,-51.9901,0.324711057051333,2.95091514056288,1.8201851217558,5.98977763964001,3.58078294659351,6540
"22554","Brazil",6542,-10.3264,-63.6682,0.267269538111929,2.92304345846143,1.9324614877698,5.98977763964001,3.58078294659351,6542
"23716","Brazil",6694,-4.95121,-53.7867,0.0911580697815587,2.93538429188915,1.83924106094525,5.98977763964001,3.58078294659351,6694
"28789","Brazil",7400,-0.435754,-64.5665,0.0449424253050532,2.99288605926321,1.9438494524684,5.98977763964001,3.58078294659351,7400
"29950","Brazil",7583,-5.85147,-56.4816,0.081762240671638,2.95495426076334,1.83851619624183,5.98977763964001,3.58078294659351,7583
"30659","Brazil",7699,-8.54258,-57.38,0.146819693564041,2.94370645301627,1.92307765701142,5.98977763964001,3.58078294659351,7699
"30983","India",7750,16.5103,79.164,0.0198881413082716,2.73344566813559,1.52028042985614,5.50520154772776,2.65874601931954,7750
"32814","Brazil",8075,-12.1,-44.8035,0.409933132118576,2.88212117213001,1.82987009203869,5.98977763964001,3.58078294659351,8075
"33066","Russian Federation",8123,59.9502,54.0111,0.052529049901835,2.44833357643858,1.26410925890994,5.32502074550366,3.33487843404016,8123
"33309","Russian Federation",8173,49.0536,136.656,0.158550943452192,2.63644013236678,1.22629564199168,5.32502074550366,3.33487843404016,8173
"35354","India",8694,9.58503,78.8845,0.147562168612725,2.87234360773092,1.63369684774352,5.50520154772776,2.65874601931954,8694
"36434","China",9138,40.7776,89.0454,0.00680236570038199,1.90582799204761,2.33405097244364,6.95136909386879,2.99627669770714,9138
"37426","Brazil",9924,-17.3436,-51.0917,0.409933132118576,2.9103400793844,2.04802173403389,5.98977763964001,3.58078294659351,9924
"41","Brazil",10617,-9.43566,-68.1597,0.282357732173388,2.89015144738051,1.86505160978954,5.98977763964001,3.58078294659351,10617
"51","Brazil",10814,-6.75027,-63.6682,0.0139776818099233,2.92184433826686,2.01463446521319,5.98977763964001,3.58078294659351,10814
"71","Brazil",11078,-13.8618,-52.8884,0.380841397095511,2.91386113796408,2.05076548128158,5.98977763964001,3.58078294659351,11078
"73","Canada",11102,50.2203,-74.4479,0.00949463835360671,2.67642141004692,1.17100484609949,5.43420630841758,4.37324138608759,11102
"85","Brazil",11235,-14.7378,-43.0069,0.357100704484407,2.77846565536467,1.83302205402271,5.98977763964001,3.58078294659351,11235
"91","Brazil",11285,-17.3436,-54.685,0.409933132118576,2.92816563319996,2.05160968185532,5.98977763964001,3.58078294659351,11285
