FISHNET_ID,Achatina.fulica_MEAN,Paspalum.urvillei_mean,Spodoptera.frugiperda_mean,Verbesina.encelioides_mean,Xanthium.spinosum_mean,MeanProbability,Stdev
53582,0.975719929,0.001939959,0.034924647,0.00569483,0.001525771,0.203961027,0.386079559
58113,0.995994568,0.006964923,0.186883837,0.000345373,0.000417942,0.238121329,0.385608796
53426,0.983842313,0.005329985,0.09461175,0.000550504,0.000396939,0.216946298,0.385122699
15271,0.664268553,0.005657177,0.884851903,1.34E-05,0.000313221,0.31102085,0.384857859
44463,0.001093147,0.146900006,0.933231011,0.771846784,0.091149154,0.38884402,0.384852749
46491,0.979376153,0.004426452,0.074956896,0.001139246,0.00051453,0.212082656,0.384687426
55703,0.685274161,0.004637293,0.86962332,9.17E-06,0.000266309,0.31196205,0.384516675
53870,0.742800355,0.908238908,0.658045312,0.000166042,0.004433137,0.462736751,0.384465107
44703,0.993182957,0.007741601,0.186541602,0.000384134,0.000439185,0.237657896,0.384412292
50338,0.990600765,0.012777718,0.141376911,0.001331176,0.000674455,0.229352205,0.384299527
25523,0.962751249,0.001080469,0.006500973,0.001145227,0.000154236,0.194326431,0.384218928
42217,0.970701675,0.020995142,0.021714175,0.001664548,0.000224608,0.203060029,0.383929677
43241,0.001832243,0.146695707,0.883153127,0.883925949,0.180209896,0.419163384,0.383873263
50765,0.978355633,0.702958511,0.273289928,0.024384156,0.010805218,0.397958689,0.383372807
35686,0.984985786,0.004348326,0.127546263,0.00733265,0.00281829,0.225406263,0.382754686
45408,0.958417267,0.001360371,0.001230984,0.00175051,0.002101581,0.192972143,0.382722684
48887,0.973376155,0.006373715,0.06228987,0.006410949,0.000863742,0.209862886,0.382416392
31054,0.99139747,0.030364125,0.138793807,0.004266451,0.001629381,0.233290247,0.382349004
44707,0.996442888,0.676246782,0.210898466,0.064138351,0.012108286,0.391966955,0.382297312
51575,0.9998478,0.057711635,0.160060577,0.00430466,0.000781217,0.244541178,0.382011216
53993,0.967109223,0.001118883,0.050941449,0.005106803,0.000971917,0.205049655,0.3814962
59907,0.828856707,0.013946314,0.138488184,0.912194921,0.150253946,0.408748014,0.380966677
41179,0.990402559,0.024738567,0.187779516,0.002377406,0.001320496,0.241323709,0.380944118
8461,0.979329385,0.003989405,0.144264573,0.000141996,0.000196237,0.225584319,0.380912814
56533,0.031190127,0.829221246,0.900508786,0.06430982,0.197688594,0.404583715,0.380597792
49929,0.999551753,0.072417485,0.165756534,0.003052879,0.000882529,0.248332236,0.380391595
55436,0.957237889,0.001736075,0.01825074,0.005355996,0.000496815,0.196615503,0.380363282
55786,0.963958147,0.00274574,0.055104786,0.002243652,0.000724591,0.204955383,0.38006089
36363,0.958200544,0.014872823,0.015867734,0.002038634,0.000205821,0.198237111,0.38003571
15147,0.985264927,0.021815895,0.161476351,0.003772964,0.000881616,0.234642351,0.380007203
55992,0.960014687,0.004865388,0.032289243,0.004213902,0.001092176,0.200495079,0.379926844
44665,0.958224833,0.00286228,0.032946926,5.36E-05,0.000219201,0.198861366,0.379884024
55560,0.957218513,0.012826168,0.467373285,0.000091757,0.000204133,0.287542771,0.379859291
41208,0.972031593,0.001252266,0.056322983,0.034915897,0.003378541,0.213580256,0.379780771
41297,0.94096671,0.00175739,0.015978808,0.537710287,0.011809135,0.301644466,0.379473754
43792,0.975997603,0.006033759,0.129902288,0.006266605,0.002351043,0.22411026,0.379051471
54040,0.989895046,0.056616597,0.154098397,0.001816306,0.000934746,0.240672218,0.378743329
47801,0.998273073,0.262929251,0.060610596,0.001269156,0.005104143,0.265637244,0.378567431
64248,0.985892236,0.006297894,0.069072925,0.100375853,0.002576747,0.232843131,0.378363996
57932,0.987517901,0.035762941,0.076181584,0.054888602,0.007280905,0.232326386,0.378275626
59982,0.956585639,0.034367915,0.010771807,7.66E-05,0.000688583,0.200498105,0.378247617
49696,0.999985659,0.085543605,0.214187233,0.000656959,0.000339539,0.260142599,0.378099163
60876,0.999999976,0.168840258,0.095083159,0.004490557,0.00197737,0.254078264,0.378098676
48516,0.987684553,0.041773746,0.180464281,0.004869312,0.001129559,0.24318429,0.377932579
52208,0.997811794,0.223932326,0.064661764,0.00410344,0.005842334,0.259270331,0.377862582
47691,0.954230037,0.011400246,0.032184738,0.001077568,0.000188747,0.199816267,0.377382904
63866,0.143961143,0.836329861,0.938530784,0.06376464,0.161539789,0.428825243,0.377284525
61295,0.958436179,0.000742327,0.029908814,0.030371156,0.002174353,0.204326566,0.377273218
42761,0.970336229,0.019677253,0.074616261,0.020323268,0.002991735,0.217588949,0.377148355
44324,0.999986335,0.088645339,0.266934294,0.001212677,0.000425682,0.271440865,0.377010747
56096,0.954320542,0.002559263,0.041933411,0.004302689,0.00187606,0.200998393,0.376964964
64620,0.950999081,0.623480201,0.639948189,0.006513983,0.006888301,0.445565951,0.376856815
51946,0.954511714,0.001202707,0.0559813,0.000301101,0.000452331,0.20248983,0.37662119
46180,0.956719534,0.00306191,0.067213198,0.000100394,0.000189443,0.205456896,0.376504083
44856,0.967841819,0.003637925,0.142399067,0.000141518,0.0001875,0.222841566,0.376488181
58406,0.079001175,0.838714982,0.939222117,0.096076113,0.214465582,0.433495994,0.376152739
46484,0.962118471,0.003126895,0.07684116,0.01910406,0.00221184,0.212680485,0.375710316
50204,0.943315574,0.000823562,0.014281951,0.001640177,0.000304896,0.192073232,0.375657045
60783,0.146299094,0.03191066,0.018933874,0.9435049,0.668915749,0.361912855,0.375639563
49117,0.964808469,0.030955081,0.407556277,0.000406631,0.000517453,0.280848782,0.375109573
46627,0.999651065,0.121028218,0.211017743,0.000872892,0.000536604,0.266621304,0.374978671
37351,0.997598231,0.038015009,0.09041458,0.12344965,0.009858006,0.251867095,0.37495973
34606,0.947889534,0.020383874,0.021791744,0.001698719,0.000247511,0.198402277,0.374852126
53658,0.991376948,0.148142097,0.104194516,0.00707507,0.002060361,0.250569798,0.37463556
57427,0.96489042,0.009095616,0.149761766,0.0004617,0.000656475,0.224973195,0.37428887
53680,0.002878414,0.555643192,0.976128659,0.91485622,0.255700563,0.54104141,0.374243356
56972,0.950813234,0.000987825,0.070652165,0.000248492,0.000212299,0.204582803,0.374103729
53258,0.953938606,0.004006589,0.087993452,0.000361908,0.000310647,0.20932224,0.373812517
43850,0.002512033,0.36081094,0.965934257,0.841707323,0.180392551,0.470271421,0.373752987
55467,0.999945164,0.177490503,0.157601878,0.002058308,0.000738862,0.267566943,0.373704696
44682,0.63035773,0.000645405,0.863994066,8.28E-08,2.64E-05,0.299004731,0.373314314
55579,0.964971655,0.003278512,0.231225387,0.000115149,0.000100912,0.239938323,0.373307983
53596,0.913224098,0.785953191,0.120376476,0.112420615,0.048582871,0.39611145,0.373274283
11332,0.054311308,0.8448378,0.958290919,0.158636347,0.248615005,0.452938276,0.373157236
38648,0.967792273,0.037682064,0.118581727,0.005188908,0.00262339,0.226373672,0.37307159
44894,0.011584888,0.80372285,0.98592035,0.922834231,0.36294614,0.617401692,0.372980493
63437,0.033705861,0.847278635,0.85086826,0.066695486,0.183217199,0.396353088,0.372969689
27935,0.002980531,0.468302475,0.982004336,0.858960751,0.208610752,0.504171769,0.372568051
48274,0.958890215,0.001224481,0.164396513,1.55E-05,4.74E-05,0.224914815,0.372441886
57924,0.959280369,0.005809184,0.140005013,0.003057717,0.00187124,0.222004705,0.372407407
55660,0.94856616,0.003996476,0.075779228,0.001836769,0.000926944,0.206221115,0.372264614
46178,0.945196338,0.006406095,0.057760006,0.000576501,0.000151397,0.202018067,0.372214248
55803,0.977346342,0.054929539,0.220019823,0.00046217,0.000774465,0.250706468,0.372119335
47248,0.999936044,0.162959956,0.226326322,0.000906185,0.000584887,0.278142679,0.371708503
42784,0.94606182,0.006134299,0.063984856,0.004639376,0.001140841,0.204392238,0.371566023
44130,0.949536264,0.001936267,0.04828481,0.036144555,0.001468165,0.207474012,0.371493081
51211,0.96544677,0.023980018,0.195689261,8.87E-05,0.000387104,0.237118378,0.371438104
56737,0.940171697,0.006941302,0.430833716,4.45E-06,0.000134787,0.27561719,0.371420121
55261,0.973367284,0.153511841,0.046869857,0.011461805,0.007512688,0.238544695,0.371180952
31701,0.941721925,0.002478341,0.061081072,0.000942599,0.000435484,0.201331884,0.370919308
53463,0.978027682,0.088332698,0.366883695,0.000329508,0.00121251,0.286957218,0.370735434
56364,0.93696495,0.002015383,0.040388755,0.001619872,0.000404823,0.196278756,0.370652038
9317,0.986709904,0.111201242,0.210772723,0.001850876,0.001302943,0.262367538,0.370461548
37622,0.940773016,0.627368784,0.602980351,0.006157486,0.009235457,0.437303019,0.370454942
55448,0.941438091,0.002582842,0.064083308,0.001419533,0.001299106,0.202164576,0.37042412
45473,0.999988079,0.18410331,0.234351143,0.000746794,0.000548209,0.283947507,0.370313535
42932,0.00071299,0.047953851,0.719448175,0.887626804,0.132878766,0.357724117,0.370300188
48004,0.933870558,0.01352547,0.017175672,0.002123029,0.00028263,0.193395472,0.370293858
57196,0.950340419,0.003399958,0.13035389,9.55E-05,0.000177325,0.216873417,0.370129776
48151,0.001628409,0.211991458,0.838728818,0.948363355,0.283061452,0.456754698,0.370081512
43164,0.968152116,0.131760504,0.052514836,0.011667677,0.00518917,0.233856861,0.369906762
35480,0.94298214,0.001530955,0.085776573,0.000302758,0.000335558,0.206185597,0.36986835
46727,0.973761819,0.155199351,0.066619074,0.009615958,0.005189045,0.242077049,0.369824262
44393,0.837370664,0.010254715,0.662533772,9.94E-05,0.000395064,0.30213073,0.369819162
57366,0.945636985,0.004686528,0.095886445,0.001720863,0.000974282,0.209781021,0.36970502
42587,0.969312549,0.043922942,0.138763383,0.020915946,0.006094155,0.235801795,0.369652134
39169,0.013262439,0.828622034,0.991249131,0.831859527,0.318596557,0.596717938,0.369458458
44840,0.635612428,0.000920014,0.847150296,1.10E-06,9.92E-05,0.296756604,0.369146375
56834,0.92964824,0.012242388,0.017277304,8.22E-05,0.000309193,0.191911859,0.368929133
6520,0.101972532,0.839980241,0.89258281,0.075606046,0.173272791,0.416682884,0.36885929
59485,0.006113006,0.025159813,0.969998499,0.025099622,0.219802404,0.249234669,0.368760345
44973,0.997200727,0.202666759,0.150569424,0.023652619,0.002808899,0.275379686,0.368660206
56592,0.938523859,0.001189047,0.084142789,0.000316608,0.000411474,0.204916755,0.368226654
51269,0.935780823,0.004328952,0.063512757,0.000408308,0.00055755,0.200917678,0.368211697
24638,0.936051125,0.00385501,0.068637456,0.002064144,0.000800143,0.202281576,0.367786186
26834,0.93365547,0.002209644,0.052070288,0.006406717,0.001567408,0.199181905,0.367724103
57839,0.949040947,0.001780553,0.273652243,1.45E-05,6.22E-05,0.244910091,0.367603776
44691,0.999793887,0.266518007,0.220596669,0.00215066,0.001078175,0.29802748,0.367474203
51763,0.82293453,0.854070649,0.235758784,0.036538538,0.038129183,0.397486337,0.367437635
44556,0.948971165,0.003228019,0.277158506,3.96E-05,9.52E-05,0.245898491,0.367435219
49481,0.996794041,0.194175876,0.298429515,0.001834288,0.001266006,0.298499945,0.367384455
64842,0.941939047,0.665136363,0.464197738,0.004794232,0.010668569,0.41734719,0.367254274
50489,0.957974151,0.071877142,0.10546105,0.002438849,0.001715119,0.227893262,0.367242434
7338,0.961304069,0.616454393,0.412423555,0.00265047,0.007857309,0.400137959,0.367078071
44998,0.999984115,0.284150431,0.249961682,0.001359809,0.000987519,0.307288711,0.366349998
37923,0.907371402,0.867008805,0.098742295,0.050024353,0.378536925,0.460336756,0.366338686
58976,0.116679562,0.830906801,0.874667123,0.059194524,0.148554283,0.406000459,0.366183919
45657,0.949207017,0.018698679,0.163753833,0.002778305,0.001447586,0.227177084,0.36609332
5036,0.936710375,0.757177042,0.290053609,0.081470756,0.022552183,0.417592793,0.366087934
48393,0.981067676,0.544023055,0.245190103,0.023278577,0.008107567,0.360333396,0.366054614
58306,0.965142645,0.14675778,0.074801555,0.013155215,0.003188359,0.240609111,0.365883301
49935,0.93669543,0.002182386,0.066827351,0.024656845,0.003103154,0.206693033,0.365753066
47708,0.941424852,0.008200991,0.111836256,0.008039164,0.003043528,0.214508958,0.365748214
61804,0.948388782,0.021584369,0.293986293,2.87E-05,0.000194031,0.25283643,0.365158553
48675,0.012276944,0.023613098,0.007068961,0.640612582,0.85313036,0.307340389,0.365153006
22423,0.958829463,0.031952549,0.111689515,0.053868908,0.004477715,0.23216363,0.365040164
53454,0.945670923,0.015322826,0.299198561,0.000185831,0.000241662,0.252123961,0.365024848
47014,0.962918663,0.130526048,0.059600993,0.027900596,0.007411656,0.237671591,0.365019487
65401,0.985123158,0.042833183,0.093870588,0.207859449,0.010425276,0.268022331,0.364759755
44752,0.962335646,0.180308664,0.492803144,0.000775377,0.001499076,0.327544381,0.364700504
60109,0.915697515,0.000926495,0.014160087,0.001361048,0.000186305,0.18646629,0.364652384
45717,0.991764367,0.218242869,0.16765894,0.023491159,0.004285514,0.28108857,0.364651151
51139,0.98435688,0.472986708,0.252675901,0.006075488,0.004031765,0.344025348,0.364638443
28113,0.962553959,0.097022052,0.07001706,0.041336063,0.007798225,0.235745472,0.364613669
50111,0.926630251,0.007558921,0.056702286,0.001793718,0.000752984,0.198687632,0.364564348
25602,0.932698091,0.001500057,0.107726827,8.22E-05,0.000128367,0.208427114,0.364506176
47275,0.929020792,0.006281965,0.059509256,0.009229624,0.00226768,0.201261864,0.364477458
41847,0.94423939,0.015942301,0.120763569,0.016089831,0.005171997,0.220441417,0.364345869
61780,0.935409665,0.000920901,0.330379754,2.29E-05,0.000124727,0.253371597,0.364185957
35083,0.991970152,0.232433498,0.174936645,0.021373993,0.004335544,0.285009966,0.364130521
61437,0.000388503,0.014581387,0.674402751,0.881882787,0.149454365,0.344141959,0.364120106
46462,0.128156858,0.020284725,0.011549676,0.933988074,0.574917515,0.33377937,0.364085039
50362,0.997196221,0.278894044,0.318604985,0.002170596,0.001616212,0.319696412,0.364052104
52678,0.966165378,0.383865235,0.561501494,0.001036424,0.002829543,0.383079615,0.363970083
45978,0.975458582,0.636671528,0.159115026,0.115448542,0.029519595,0.383242655,0.363871621
32040,0.939793638,0.003477512,0.142386185,0.010298316,0.003797409,0.219950612,0.363793105
55202,0.918879364,0.001170339,0.03661293,0.002226762,0.000652063,0.191908292,0.363742377
41109,0.991302907,0.373503119,0.230459814,0.004791488,0.002873715,0.320586209,0.363717305
60297,0.963854722,0.177658321,0.080959416,0.011008181,0.004306936,0.247557515,0.363551632
50734,0.004341609,0.018245784,0.944821788,0.019391717,0.13313614,0.223987407,0.363397701
48742,0.925947845,0.001111536,0.081524104,0.000280544,0.00051617,0.20187604,0.363388909
39453,0.933209062,0.003860352,0.128290959,7.84E-05,0.000176025,0.213122961,0.363385657
44814,0.999771357,0.298667878,0.249138758,0.016155845,0.003203267,0.313387421,0.363325827
54795,0.943214849,0.021087464,0.18611476,2.07E-05,0.00029944,0.230147441,0.363290105
39631,0.95301751,0.053846595,0.180039271,0.004113482,0.00129273,0.238461918,0.363112691
47940,0.001302174,0.087915407,0.733018341,0.887250193,0.160312999,0.373959823,0.362968351
47857,0.835418793,0.860172144,0.111354922,0.145014305,0.069813993,0.404354832,0.362935143
19826,0.93697164,0.019001031,0.345027035,0.000449014,0.000760427,0.260441829,0.362814442
49844,0.992753057,0.460945345,0.184705995,0.051797106,0.008080172,0.339656335,0.362784136
57800,0.009245949,0.749380303,0.979278301,0.908608332,0.381334258,0.605569429,0.362782461
59149,0.908972652,0.008531754,0.459592697,0.000209144,0.000488101,0.27555887,0.362730299
58498,0.878215224,0.737311065,0.49833107,0.003389775,0.011864008,0.425822228,0.362423188
42657,0.9578098,0.077079729,0.212258231,0.000445268,0.000860419,0.249690689,0.362399832
57892,0.866219044,0.740587294,0.545494258,0.004212336,0.011413528,0.433585292,0.362363338
70432,0.001471339,0.00577746,0.926639294,0.009540835,0.077732012,0.204232188,0.362291398
31169,0.912321829,0.01087921,0.007440717,0.008417536,0.00071149,0.187954157,0.362199497
50870,0.991470026,0.280158672,0.248702815,0.005884752,0.002616865,0.305766626,0.362196111
53307,0.790511671,0.840037553,0.276622803,0.006755802,0.026361342,0.388057834,0.361908308
55753,0.993325472,0.336396704,0.227198616,0.012905153,0.006998277,0.315364844,0.361778396
59559,0.017363918,0.650575875,0.99075762,0.921338288,0.361778713,0.588362883,0.361675215
69255,0.000242941,0.004142557,0.92443626,0.024726328,0.058017037,0.202313025,0.361641863
45612,0.926169428,0.07474668,0.484082074,0.001438275,0.003305014,0.297948294,0.361623946
57647,0.924896533,0.008684926,0.374007236,6.13E-06,0.000139955,0.261546955,0.361484829
48670,0.978017747,0.03720431,0.10894423,0.209313601,0.009058047,0.268507587,0.361437223
35340,0.993278325,0.330512278,0.214833394,0.021671487,0.003826405,0.312824378,0.361436695
51461,0.001901456,0.2531153,0.897236884,0.795009896,0.133404278,0.416133563,0.36141575
60293,0.033902059,0.107932544,0.055353209,0.820337277,0.7821113,0.359927278,0.361324195
60852,0.937480062,0.014095395,0.250560068,1.18E-05,0.000184061,0.240466268,0.361310891
58565,0.002649645,0.365818164,0.914470952,0.901892963,0.268665212,0.490699387,0.361040037
45202,0.911412916,0.01571581,0.016734698,0.001647796,0.001984946,0.189499233,0.361014515
58446,0.824760094,0.207375637,0.766617544,0.001668029,0.01659068,0.363402397,0.360806832
49251,0.000618207,0.003151252,0.916856528,0.005064426,0.056901539,0.19651839,0.360777563
54886,0.938677132,0.031484614,0.320807989,0.000825711,0.001749052,0.2587089,0.360659416
52915,0.992641419,0.247835331,0.231742598,0.02220971,0.007207176,0.300327247,0.360562591
58769,0.022199898,0.753771907,0.868094904,0.055679657,0.183672065,0.376683686,0.360454252
62775,0.84119983,0.774477318,0.479626447,0.001827213,0.009990713,0.421424304,0.360439934
52325,0.988783717,0.325278789,0.093328729,0.083861165,0.012053265,0.300661133,0.359833899
48813,0.000910356,0.072247544,0.77033278,0.873056019,0.264538556,0.396217051,0.359416424
63515,0.986183107,0.053031478,0.131004091,0.246965535,0.010867449,0.285610332,0.359381496
48251,0.988808632,0.061041586,0.133381084,0.239910513,0.011260144,0.286880392,0.359288505
63171,0.949252885,0.26147792,0.042524394,0.011533609,0.01234162,0.255426085,0.359258397
62381,0.958904028,0.037376229,0.080123506,0.1534473,0.008823758,0.247734964,0.358907945
54402,0.922281827,0.004244219,0.095654823,0.014894759,0.003048458,0.208024817,0.358784378
55828,0.003348274,0.034007745,0.948438525,0.054215726,0.148081787,0.237618411,0.358680467
48063,0.002386406,0.040921889,0.039560974,0.683273702,0.823362796,0.317901153,0.358532815
52553,0.929880551,0.012943206,0.236823752,1.48E-05,0.000134018,0.235959267,0.358482076
60322,0.901802551,0.000400186,0.016795292,0.004623685,0.001062252,0.184936793,0.358481381
29474,0.933178306,0.084632826,0.050593661,0.019707994,0.003750502,0.218372658,0.358472751
57644,0.000245953,0.002171023,0.910003144,0.009079039,0.048070848,0.193914001,0.358466325
48064,0.926241708,0.007435098,0.133625625,0.010809089,0.00365442,0.216353188,0.358307541
51599,0.993396044,0.246252596,0.161761567,0.070704713,0.006096256,0.295642235,0.358233865
52470,0.878540692,0.741574275,0.273248998,0.035546219,0.01636524,0.389055085,0.358090276
54734,0.926585197,0.023362964,0.344065905,0.001912968,0.001713714,0.25952815,0.357971953
52077,0.973896876,0.198479255,0.152638543,0.026176193,0.012812531,0.27280068,0.357747387
43299,0.867903113,0.004889084,0.529540718,0.000129422,0.000772246,0.280646916,0.357737402
60187,0.939750075,0.556038022,0.509397864,0.002981728,0.006849467,0.403003431,0.357712635
39991,0.970911473,0.62066263,0.223493662,0.100810695,0.018901646,0.386956021,0.357683061
46131,0.918163279,0.003579609,0.124977853,7.32E-05,0.000184409,0.209395679,0.357609667
43604,0.004094494,0.057875134,0.063749599,0.6921181,0.835823667,0.330732199,0.357250623
58266,0.000121486,0.00757073,0.241089617,0.956796291,0.116272528,0.26437013,0.35712803
51072,0.978242189,0.386801153,0.342726501,0.00220398,0.002621359,0.342519037,0.357057319
68165,0.00010976,0.010290956,0.282705342,0.945899081,0.069820251,0.261765078,0.356937918
41005,0.006355045,0.589948038,0.99246052,0.731789894,0.201755708,0.504461841,0.35689495
36892,0.913849832,0.003372029,0.1063901,0.000419454,0.000314269,0.204869137,0.356817936
60018,0.99558121,0.077732321,0.157322057,0.276406124,0.013800527,0.304168448,0.356643538
63427,0.900331891,0.016340623,0.018591431,0.000388771,0.000687929,0.187268129,0.356612965
61153,0.002307366,0.19526836,0.818317625,0.887220687,0.23623097,0.427869002,0.35647861
48727,0.896507847,0.001126422,0.024032608,0.001041019,0.000476078,0.184636795,0.356048518
61144,0.001902842,0.049795396,0.962198636,0.119822888,0.159460562,0.258636065,0.355986388
48248,0.913935474,0.005774758,0.114644616,0.001585072,0.000604592,0.207308902,0.355969875
40775,0.901632905,0.003013678,0.050656782,3.76E-05,0.000232248,0.191114634,0.355778899
52158,0.015583618,0.832113819,0.992359661,0.654636498,0.302083657,0.559355451,0.355765325
53703,0.005248276,0.601864061,0.972311455,0.878673107,0.33247539,0.558114458,0.355754138
46706,0.913405332,0.004761301,0.10523128,0.005780184,0.002297049,0.206295029,0.355712267
61422,0.000857931,0.061567314,0.941514224,0.07123265,0.088997653,0.232833955,0.355577481
36374,0.988811694,0.30976494,0.244188743,0.028688145,0.013319855,0.316954675,0.355536249
63908,0.054797659,0.845325996,0.977551223,0.310370335,0.274730956,0.492555234,0.355510553
50668,0.004132137,0.10049886,0.126162036,0.794035757,0.801550042,0.365275766,0.355493257
12532,0.007959289,0.061521045,0.076730287,0.764590511,0.780684242,0.338297075,0.355408978
55918,0.928679198,0.027969429,0.146335997,0.017232006,0.005385538,0.225120434,0.355407221
55507,0.011410117,0.431805879,0.949157574,0.901814235,0.332837804,0.525405122,0.355326277
51344,0.904574394,0.002492737,0.072053012,0.001578909,0.000531445,0.196246099,0.355216216
50522,0.901433609,0.002322574,0.053469758,0.002787056,0.0018634,0.192375279,0.355082233
60387,0.898456262,0.005787193,0.041103025,0.00018898,0.000132798,0.189133652,0.35498985
51833,0.903808981,0.003108172,0.070768451,0.00125089,0.000627048,0.195912708,0.354959581
52846,0.939633407,0.115747388,0.113105158,0.009060695,0.00426859,0.236363048,0.354926482
42013,0.901782483,0.003730815,0.061007582,0.000261803,0.00051731,0.193459998,0.354912376
58237,0.978817137,0.25529131,0.233797845,0.019146796,0.010609398,0.299532497,0.354908058
29710,0.949413919,0.11917801,0.251413326,0.000141882,0.00102759,0.264234945,0.35488009
62675,0.900860171,0.007249716,0.030721101,0.013992484,0.004023745,0.191369443,0.35486506
43886,0.934355437,0.092656707,0.079025446,0.026149362,0.007666083,0.227970607,0.354609627
34716,0.886649072,0.000983684,0.001325873,3.09E-06,7.23E-05,0.177806812,0.354421499
46281,0.902182308,0.029156946,0.029879122,0.007990571,0.002222097,0.194286209,0.354121148
53240,0.98297421,0.482994482,0.208444914,0.078637631,0.010879482,0.352786144,0.354113872
52075,0.895042826,0.007781636,0.033124188,0.00079848,0.000186254,0.187386677,0.354031429
46063,0.908649065,0.00151284,0.091973547,0.015435425,0.002119494,0.203938074,0.353947341
46199,0.917428064,0.021414958,0.158612314,7.13E-05,0.00042642,0.219590621,0.353890012
60214,0.931862804,0.136001382,0.068579177,0.012367342,0.004012156,0.230564572,0.353818231
55276,0.893400859,0.00261538,0.032942446,0.002716504,0.000939935,0.186523025,0.353641403
54360,0.94691622,0.070575494,0.165092925,0.044836138,0.009294225,0.247343,0.353579062
65397,0.00480072,0.696248623,0.957444414,0.786630615,0.258752094,0.540775293,0.35356351
55303,0.00059897,0.010087255,0.911315394,0.03574083,0.071864624,0.205921415,0.353559513
43002,0.120555837,0.853121492,0.804064573,0.058571136,0.152916665,0.397845941,0.353348822
58344,9.91E-05,0.008228328,0.254631014,0.934562553,0.06416971,0.25233815,0.353286534
6093,0.941678909,0.107725314,0.304699858,0.000141193,0.001069728,0.271063,0.353222685
50874,0.90658164,0.011746804,0.073622663,0.01516932,0.002584375,0.20194096,0.353209452
56496,0.934580753,0.078365176,0.215501984,4.36E-05,0.00125135,0.24594857,0.353149108
58544,0.91357745,0.00822989,0.187413631,0.00048326,0.000544508,0.222049748,0.353068105
40352,0.635386193,0.004882209,0.794660281,2.14E-05,0.000408081,0.287071634,0.353036531
60156,0.895025645,0.001140044,0.054797476,0.000107905,0.000170327,0.19024828,0.353016422
810,0.886576487,0.00718389,0.438462218,0.000220261,0.0004143,0.266571431,0.352992117
47556,0.889104592,0.00972671,0.431031799,5.88E-05,0.000258283,0.26603604,0.352849598
61486,0.003127536,0.345315782,0.893719403,0.905849556,0.321286476,0.493859751,0.35278557
44536,0.95090466,0.027998117,0.117190751,0.175300675,0.007923829,0.255863606,0.35276038
68194,0.000787072,0.046706206,0.941931355,0.132886552,0.086880294,0.241838296,0.352759119
47743,0.00409649,0.106188583,0.101770341,0.730618816,0.835892882,0.355713422,0.352565049
45842,0.046883334,0.853556586,0.763345058,0.07180236,0.169654609,0.381048389,0.3525341
55196,0.983588219,0.091616319,0.149853003,0.227594879,0.012382987,0.293007081,0.352415174
37972,0.00076726,0.048290179,0.934416785,0.097487065,0.083147681,0.232821794,0.352378939
54975,0.925247612,0.643227695,0.235543248,0.059752216,0.018187884,0.376391731,0.352378513
46356,0.892745614,0.004570128,0.050104104,1.02E-05,0.000115504,0.189509114,0.352124276
69875,0.001658166,0.045457219,0.94494041,0.103505641,0.140493802,0.247211048,0.352098538
56952,0.945427855,0.103334886,0.281611408,0.013325143,0.005712974,0.269882453,0.352092152
54300,0.001317655,0.002024976,0.186166399,0.938533788,0.114726026,0.248553769,0.352072895
54698,0.929489765,0.068232564,0.22470221,0.000157015,0.000815124,0.244679336,0.352067832
48610,0.905433416,0.008019403,0.12422321,0.000308856,0.000442203,0.207685418,0.352033952
62409,0.010610117,0.80503084,0.98102773,0.384533219,0.294107364,0.495061854,0.352004652
