Microp_Field_ID,Family,Database,Taxon,G_Taxon,Database.1,common.name,wild.cultivated,Herbaceous.woody,Reference,Notes,Root_Trait_Count,Database_Groot,Coarse_root_fine_root_mass_ratio,Fine_root_mass_leaf_mass_ratio,Lateral_spread,Mean_Root_diameter,Net_nitrogen_uptake_rate,Root_branching_density,Root_branching_ratio,Root_C_concentration,Root_C_N_ratio,Root_Ca_concentration,Root_cortex_thickness,Root_dry_matter_content,Root_K_concentration,Root_length_density_volume,Root_lifespan_mean,Root_lifespan_median,Root_lignin_concentration,Root_litter_mass_loss_rate,Root_mass_density,Root_mass_fraction,Root_Mg_concentration,Root_Mn_concentration,Root_mycorrhizal.colonization,Root_N_concentration,Root_N_P_ratio,Root_P_concentration,Root_production,Root_stele_diameter,Root_stele_fraction,Root_tissue_density,Root_total_structural_carbohydrate_concentration,Root_turnover_rate,Root_vessel_diameter,Root_xylem_vessel_number,Rooting_depth,Specific_root_area,Specific_root_length,Specific_root_respiration,,Growth.direction..orthotropic.plagiotropic.ageotropic.,Phyllotaxis..spiral.opposite.,Branching.type..monoopdial.sympodial.,Branching.position..acrotony.mesotony.basitony.,Flowering.of.each.axis..terminal.lateral.none.,Meristem.functioning.for.each.axis..indeterminate.determinate.,Branching.mechanism..continuous.rhythmic.diffuse.absent.,Short.shoots,Number.of.axes.orders,Number.of.types.of.axes,Reiteration,Basal.branching
461,Asteraceae,Guillame,Acmella alba,Acmella alba,MICROP,Paracress wild relative 1,Wild,Herbaceous,Jansen 1985,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
462,Asteraceae,Guillame,Acmella alba var. ecuadorensis,Acmella alba var. ecuadorensis,MICROP,Paracress wild relative 2,Wild,Herbaceous,Jansen 1985,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
460,Asteraceae,Guillame,Acmella oleracea,Acmella oleracea,MICROP,Paracress,Cultivated,Herbaceous,Jansen 1985,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
13,Actinidiaceae,Guillame,Actinidia arguta,Actinidia arguta,MICROP,Hardy kiwi,Cultivated,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
5,Actinidiaceae,Guillame,Actinidia chinensis ,Actinidia chinensis ,MICROP,Kiwi wild relative 1,Wild,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
4,Actinidiaceae,Guillame,Actinidia deliciosa ,Actinidia deliciosa ,MICROP,Kiwi ,Cultivated,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
7,Actinidiaceae,Guillame,Actinidia kolomikta ,Actinidia kolomikta ,MICROP,Kolomikta ,Cultivated,,Huang et al. 2002 ,,6,Groot,,,,0.23,,,,451.5981863,18.13607045,,,,,,,,,,,,,,,24.905621,,,,,,0.1078125,,,,,,,224.5237681,,,,,,,,,,,,NA,,
6,Actinidiaceae,Guillame,Actinidia lijiangensis,Actinidia lijiangensis,MICROP,Kiwi wild relative 2,Wild,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
8,Actinidiaceae,Guillame,Actinidia melanandra,Actinidia melanandra,MICROP,Kolomikta wild relative 1,Wild,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
12,Actinidiaceae,Guillame,Actinidia melanandra,Actinidia melanandra,MICROP,Silver vine wild relative 2,Wild,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
14,Actinidiaceae,Guillame,Actinidia melanandra,Actinidia melanandra,MICROP,Hardy kiwi wild relative 1,Wild,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
10,Actinidiaceae,Guillame,Actinidia polygama,Actinidia polygama,MICROP,Silver vine,Cultivated,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
15,Actinidiaceae,Guillame,Actinidia valvata,Actinidia valvata,MICROP,Hardy kiwi wild relative 2,Wild,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
9,Actinidiaceae,Guillame,Actinidia valvata ,Actinidia valvata ,MICROP,Kolomikta wild relative 2,Wild,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
11,Actinidiaceae,Guillame,Actinidia valvata ,Actinidia valvata ,MICROP,Silver vine wild relative 1,Wild,,Huang et al. 2002 ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1909,Malvaceae,Guillame,Adansonia digitata ,Adansonia digitata ,MICROP,African baobab,Cultivated,Woody,Baum et al. 1998,,6,Groot,,,,1.4066,,,,878.9000194,,,,,,,,,,,,,,,,27.54406453,,,,,,0.949513382,,,,,1.8,,6.806549376,,,,,,,,,,,,NA,,
1910,Malvaceae,Guillame,Adansonia gibbosa,Adansonia gibbosa,MICROP,African baobab wild relative 1,Wild,Woody,Baum et al. 1998,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1911,Malvaceae,Guillame,Adansonia suarezensis ,Adansonia suarezensis ,MICROP,African baobab wild relative 2,Wild,Woody,Baum et al. 1998,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2516,Rutaceae,Guillame,Adenandra brachyphylla,Adenandra brachyphylla,MICROP,Buchu wild relative 1,Wild,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2515,Rutaceae,Guillame,Adenandra fragrans ,Adenandra fragrans ,MICROP,Buchu,Cultivated,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2517,Rutaceae,Guillame,Adenandra gummifera,Adenandra gummifera,MICROP,Buchu wild relative 2,Wild,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1335,Fabaceae,Guillame,Aeschynomene americana,Aeschynomene americana,MICROP,Shyleaf,Cultivated,Herbaceous,Oliveira et al. 2019,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1337,Fabaceae,Guillame,Aeschynomene chicocesariana,Aeschynomene chicocesariana,MICROP,Shyleaf wild relative 2,Wild,Herbaceous,Oliveira et al. 2019,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1336,Fabaceae,Guillame,Aeschynomene viscidula ,Aeschynomene viscidula ,MICROP,Shyleaf wild relative 1,Wild,Herbaceous,Oliveira et al. 2019,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2821,Zingiberaceae,Guillame,Aframomum alpinum,Aframomum alpinum,MICROP,Grains of paradise wild relative 1,Wild,Herbaceous,Harris et al. 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2822,Zingiberaceae,Guillame,Aframomum laxiflorum,Aframomum laxiflorum,MICROP,Grains of paradise wild relative 2,Wild,Herbaceous,Harris et al. 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2820,Zingiberaceae,Guillame,Aframomum melegueta ,Aframomum melegueta ,MICROP,Grains of paradise,Cultivated,Herbaceous,Harris et al. 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2783,Zingiberaceae,Guillame,Aframomum uniflorum,Aframomum uniflorum,MICROP,Green cardamom wild relative 2,Wild,Herbaceous,Poulsen et al. 2018,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
410,Asparagaceae,Guillame,Agave angustifolia ,Agave angustifolia ,MICROP,Agave wild relative 1,Wild,Herbaceous,Bousios et al. 2007,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Spiral,Monopodial,Absent,Terminal,Determinate,Continuous,Absent,1,1,Present,
411,Asparagaceae,Guillame,Agave rhodacantha var. zopilote,Agave rhodacantha var. zopilote,MICROP,Agave wild relative 2,Wild,Herbaceous,Bousios et al. 2007,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
409,Asparagaceae,Guillame,Agave tequilana ,Agave tequilana ,MICROP,Agave,Cultivated,Herbaceous,Bousios et al. 2007,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Spiral,Monopodial,Mesotonic,Terminal,Determinate,Continuous,Absent,2,1,Present,
2404,Rosaceae,Guillame,Agrimonia nipponica ,Agrimonia nipponica ,MICROP,Salad burnet wild relative 2,Wild,Herbaceous,Mishima et al. 2002,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1551,Gramineae,Guillame,Agropyron cristatum,Agropyron cristatum,MICROP,Crested wheat grass,Cultivated,Graminoid,Che et al. 2015,,14,Groot,,,,0.915806423,,,,803.6,109.7202073,1.9,,,,,,,388.9,0.46,,,,,122.479,38.12,,1.31,278,,,,519.5,2.206,,,1,,119.78,,,,,,,,,,,,NA,,
1552,Gramineae,Guillame,Agropyron desertorum,Agropyron desertorum,MICROP,Crested wheat grass wild relative 1,Wild,Graminoid,Che et al. 2015,,9,Groot,,,,,,,,414.6448135,25.7030998,,,,16.2,,,,,,,1.42,,,60,60.54209367,,4.8,,,,,,,,,0.7366,,608.9192195,,,,,,,,,,,,NA,,
1553,Gramineae,Guillame,Agropyron michnoi,Agropyron michnoi,MICROP,Crested wheat grass wild relative 2,Wild,Graminoid,Che et al. 2015,,1,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.41,,,,,,,,,,,,NA,,
1118,Fabaceae,Guillame,Alhagi camelorum,Alhagi camelorum,MICROP,Galega wild relative 2,Wild,Herbaceous,Sanderson et al. 1998,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
371,Arecaceae,Guillame,Allagoptera arenaria ,Allagoptera arenaria ,MICROP,Coconut wild relative 1,Wild,Woody,Gunn 2004,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
99,Amaryllidaceae,Guillame,Allium altaicum,Allium altaicum,MICROP,Scallion wild relative 1,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Sympodial,Basitonic,Terminal,Determinate,Continuous,Absent,2,1,Present,
109,Amaryllidaceae,Guillame,Allium ampeloprasum,Allium ampeloprasum,MICROP,Leek wild relative 1,Wild,Herbaceous,Wiersema & Blanca 2013,,1,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Absent,Absent,Terminal,Determinate,Continuous,Absent,1,1,Absent,
108,Amaryllidaceae,Guillame,Allium ampeloprasum var. ampeloprasum,Allium ampeloprasum var. ampeloprasum,MICROP,Leek,Cultivated,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Absent,Absent,Terminal,Determinate,Continuous,Absent,1,1,Absent,
107,Amaryllidaceae,Guillame,Allium atroviolaceum,Allium atroviolaceum,MICROP,Garlic wild relative 2,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
110,Amaryllidaceae,Guillame,Allium bourgeaui,Allium bourgeaui,MICROP,Leek wild relative 2,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
94,Amaryllidaceae,Guillame,Allium cepa,Allium cepa,MICROP,onion,Cultivated,Herbaceous,Wiersema & Blanca 2013,,1,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Absent,Absent,Terminal,Determinate,Continuous,Absent,1,1,Absent,
115,Amaryllidaceae,Guillame,Allium chinense,Allium chinense,MICROP,Chinese scallion,Cultivated,Herbaceous,Friesien et al. 2006,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
111,Amaryllidaceae,Guillame,Allium commutatum,Allium commutatum,MICROP,Leek wild relative 3,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
128,Amaryllidaceae,Guillame,Allium dregeanum,Allium dregeanum,MICROP,Sand leek wild relative 1,Wild,Herbaceous,Nguyen et al. 2008,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
98,Amaryllidaceae,Guillame,Allium fistulosum,Allium fistulosum,MICROP,Scallion,Cultivated,Herbaceous,Wiersema & Blanca 2013,,1,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Absent,Absent,Terminal,Determinate,Continuous,Absent,1,1,Absent,
96,Amaryllidaceae,Guillame,Allium galanthum,Allium galanthum,MICROP,Onion wild relative 2,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
100,Amaryllidaceae,Guillame,Allium galanthum,Allium galanthum,MICROP,Scallion wild relative 2,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
126,Amaryllidaceae,Guillame,Allium gilgiticum,Allium gilgiticum,MICROP,Fragrant garlic wild relative 2,Wild,Herbaceous,Friesien et al. 2006,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
117,Amaryllidaceae,Guillame,Allium komarovii,Allium komarovii,MICROP,Chinese scallion wild relative 2,Wild,Herbaceous,Friesien et al. 2006,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
118,Amaryllidaceae,Guillame,Allium ledebourianum,Allium ledebourianum,MICROP,Ledebourianum,Cultivated,Herbaceous,Nguyen et al. 2008,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
106,Amaryllidaceae,Guillame,Allium longicuspis,Allium longicuspis,MICROP,Garlic wild relative 1,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Sympodial,Basitonic,Terminal,Determinate,Continuous,Absent,2,1,Present,
121,Amaryllidaceae,Guillame,Allium macrostemon,Allium macrostemon,MICROP,Long stamen chive,Cultivated,Herbaceous,Nguyen et al. 2008,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
122,Amaryllidaceae,Guillame,Allium melanantherum,Allium melanantherum,MICROP,Long stamen chive wild relative 1,Wild,Herbaceous,Nguyen et al. 2008,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
119,Amaryllidaceae,Guillame,Allium oliganthum,Allium oliganthum,MICROP,Ledebourianum wild relative 1,Wild,Herbaceous,Nguyen et al. 2008,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
125,Amaryllidaceae,Guillame,Allium oreoprasum,Allium oreoprasum,MICROP,Fragrant garlic wild relative 1,Wild,Herbaceous,Friesien et al. 2006,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
102,Amaryllidaceae,Guillame,Allium oschaninii,Allium oschaninii,MICROP,Shallots,Cultivated,Herbaceous,Friesien et al. 2006,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Absent,Absent,Terminal,Determinate,Continuous,Absent,1,1,Absent,
123,Amaryllidaceae,Guillame,Allium paniculatum,Allium paniculatum,MICROP,Long stamen chive wild relative 2,Wild,Herbaceous,Nguyen et al. 2008,,1,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
103,Amaryllidaceae,Guillame,Allium pskemense,Allium pskemense,MICROP,Shallots wild relative 1,Wild,Herbaceous,Friesien et al. 2006,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
124,Amaryllidaceae,Guillame,Allium ramosum,Allium ramosum,MICROP,Fragrant garlic,Cultivated,Herbaceous,Friesien et al. 2006,,2,Groot,,,,2.72332055,,,,,,,,,,,,,,,,,,,43.744,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
131,Amaryllidaceae,Guillame,Allium ramosum,Allium ramosum,MICROP,Garlic chives wild relative 1,Wild,Herbaceous,Wiersema & Blanca 2013,,2,Groot,,,,2.72332055,,,,,,,,,,,,,,,,,,,43.744,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
97,Amaryllidaceae,Guillame,Allium roylei,Allium roylei,MICROP,Onion wild relative 3,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
101,Amaryllidaceae,Guillame,Allium roylei,Allium roylei,MICROP,Scallion wild relative 3,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
105,Amaryllidaceae,Guillame,Allium sativum,Allium sativum,MICROP,Garlic,Cultivated,Herbaceous,Wiersema & Blanca 2013,,1,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Absent,Absent,Terminal,Determinate,Continuous,Absent,1,1,Absent,
132,Amaryllidaceae,Guillame,Allium scabriscapum,Allium scabriscapum,MICROP,Garlic chives wild relative 2,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
104,Amaryllidaceae,Guillame,Allium schmitzii,Allium schmitzii,MICROP,Shallots wild relative 2,Wild,Herbaceous,Friesien et al. 2006,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Absent,Absent,Terminal,Determinate,Continuous,Absent,1,1,Absent,
114,Amaryllidaceae,Guillame,Allium schmitzii,Allium schmitzii,MICROP,Chives wild relative 2,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
112,Amaryllidaceae,Guillame,Allium schoenoprasum,Allium schoenoprasum,MICROP,Chives,Cultivated,Herbaceous,Wiersema & Blanca 2013,,1,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Sympodial,Basitonic,Terminal,Determinate,Continuous,Absent,2,1,Present,
113,Amaryllidaceae,Guillame,Allium schoenoprasum subsp. latiorifolium,Allium schoenoprasum subsp. latiorifolium,MICROP,Chives wild relative 1,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Distichous,Sympodial,Basitonic,Terminal,Determinate,Continuous,Absent,2,1,Present,
127,Amaryllidaceae,Guillame,Allium scorodoprasum,Allium scorodoprasum,MICROP,Sand leek,Cultivated,Herbaceous,Nguyen et al. 2008,,1,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
129,Amaryllidaceae,Guillame,Allium sphaerocephalon,Allium sphaerocephalon,MICROP,Sand leek wild relative 2,Wild,Herbaceous,Nguyen et al. 2008,,1,Groot,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
116,Amaryllidaceae,Guillame,Allium thunbergii,Allium thunbergii,MICROP,Chinese scallion wild relative 1,Wild,Herbaceous,Friesien et al. 2006,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
